,島の数(平均) ,最も大きい島のagent数(平均) , 文化の数(平均), 平均クラスター係数(平均), 平均頂点間距離(平均) ,ブリッジ数(平均) ,島の数(分散) ,最も大きい島のagent数(分散) ,文化の数(分散) ,平均クラスター係数(分散), 平均頂点間距離(分散) ,ブリッジ数(分散) ,島の数(標準偏差) ,最も大きい島のagent数(標準偏差) ,文化の数(標準偏差),平均クラスター係数(標準偏差), 平均頂点間距離(標準偏差), ブリッジ数(標準偏差)
0.000000 ,6.800000 ,400.000000 ,7.300000 ,0.068494 ,0.982733 ,44.400000 ,3.360000 ,0.000000 ,1.610000 ,0.000388 ,1.385600 ,7735.040000 ,1.833030 ,0.000000 ,1.268858 ,0.019698 ,1.177115 ,87.949076
0.100000 ,6.700000 ,400.000000 ,7.000000 ,0.071225 ,0.781934 ,28.200000 ,3.010000 ,0.000000 ,3.400000 ,0.000384 ,0.916484 ,7157.160000 ,1.734935 ,0.000000 ,1.843909 ,0.019609 ,0.957331 ,84.600000
0.200000 ,6.000000 ,400.000000 ,6.000000 ,0.063404 ,0.801618 ,0.000000 ,1.400000 ,0.000000 ,1.400000 ,0.000094 ,1.072264 ,0.000000 ,1.183216 ,0.000000 ,1.183216 ,0.009681 ,1.035502 ,0.000000
0.300000 ,5.800000 ,400.000000 ,5.900000 ,0.079845 ,0.908662 ,0.200000 ,1.160000 ,0.000000 ,1.290000 ,0.000207 ,0.831576 ,0.360000 ,1.077033 ,0.000000 ,1.135782 ,0.014382 ,0.911908 ,0.600000
0.400000 ,5.900000 ,400.000000 ,6.300000 ,0.071930 ,0.868477 ,4.100000 ,1.290000 ,0.000000 ,2.410000 ,0.000170 ,0.634845 ,75.690000 ,1.135782 ,0.000000 ,1.552417 ,0.013036 ,0.796772 ,8.700000
0.500000 ,6.500000 ,400.000000 ,7.000000 ,0.081258 ,0.697499 ,8.400000 ,4.650000 ,0.000000 ,2.600000 ,0.000250 ,1.470347 ,283.040000 ,2.156386 ,0.000000 ,1.612452 ,0.015821 ,1.212579 ,16.823793
0.600000 ,7.000000 ,400.000000 ,7.600000 ,0.086072 ,0.302692 ,6.200000 ,2.600000 ,0.000000 ,3.240000 ,0.000109 ,0.068468 ,201.360000 ,1.612452 ,0.000000 ,1.800000 ,0.010460 ,0.261664 ,14.190137
0.700000 ,6.500000 ,400.000000 ,6.900000 ,0.082746 ,0.732237 ,1.300000 ,1.850000 ,0.000000 ,2.290000 ,0.000220 ,1.101585 ,8.810000 ,1.360147 ,0.000000 ,1.513275 ,0.014844 ,1.049564 ,2.968164
0.800000 ,6.100000 ,400.000000 ,8.800000 ,0.085377 ,0.860023 ,37.800000 ,2.690000 ,0.000000 ,3.960000 ,0.000196 ,1.384304 ,1736.760000 ,1.640122 ,0.000000 ,1.989975 ,0.014013 ,1.176564 ,41.674453
0.900000 ,4.900000 ,400.000000 ,17.400000 ,0.086568 ,2.883224 ,117.400000 ,5.290000 ,0.000000 ,39.840000 ,0.000194 ,13.977354 ,3992.440000 ,2.300000 ,0.000000 ,6.311894 ,0.013940 ,3.738630 ,63.185758
